CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000001,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),112.79,1592.13,No
CUST_000002,Female,0,Yes,Yes,41,Yes,No phone service,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),109.58,4480.08,Yes
CUST_000003,Male,1,No,No,21,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),61.28,1220.24,No
CUST_000004,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,40.11,2358.73,No
CUST_000005,Male,1,No,No,1,No,No phone service,No,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,79.13,79.13,Yes
CUST_000006,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),74.79,5287.17,No
CUST_000007,Male,1,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,24.68,1159.07,No
CUST_000008,Male,0,Yes,No,50,Yes,Yes,No,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,103.73,5096.41,Yes
CUST_000009,Male,1,No,Yes,19,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,22.03,541.37,No
CUST_000010,Female,0,Yes,No,63,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),21.83,1313.11,No
CUST_000011,Male,0,Yes,Yes,67,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,92.08,6204.61,Yes
CUST_000012,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,113.07,350.91,Yes
CUST_000013,Male,1,Yes,Yes,18,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,88.41,1446.03,No
CUST_000014,Male,0,Yes,No,14,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,96.9,1439.85,No
CUST_000015,Female,1,No,No,66,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),110.43,7299.82,No
CUST_000016,Male,1,Yes,No,24,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,50.97,1445.28,No
CUST_000017,Female,0,No,No,62,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.07,5067.67,No
CUST_000018,Female,0,No,No,66,No,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,54.32,3708.03,No
