gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,15,1,2,0,2,0,0,0,1,0,0,0,2,50.81,525.95,0
0,0,1,1,39,1,0,0,0,0,2,0,2,0,2,1,2,50.26,2113.45,0
1,0,1,0,71,1,0,1,1,1,0,2,0,0,0,1,2,22.98,1630.01,0
1,0,1,0,14,1,1,0,2,1,2,0,0,0,0,1,1,104.05,1476.23,0
0,0,0,1,5,1,2,0,0,1,0,0,2,0,0,0,2,97.3,357.87,1
1,0,0,0,44,0,2,0,0,0,1,0,0,0,0,0,2,23.87,1030.41,0
1,1,0,0,24,1,0,0,2,0,2,0,2,0,1,1,3,34.46,629.33,1
1,0,0,0,54,1,2,2,2,2,1,0,0,1,2,0,3,109.62,6022.14,0
1,1,1,0,22,1,0,0,2,1,0,0,0,1,1,1,3,37.09,795.88,0
0,0,0,0,61,1,2,1,0,1,1,1,2,0,0,1,3,82.68,5232.66,0
1,0,1,0,44,1,2,0,0,1,0,0,2,0,0,1,2,20.88,861.87,0
0,1,1,0,22,1,1,1,2,0,2,0,2,0,0,1,2,62.67,1330.29,1
1,0,0,1,63,1,2,0,0,2,2,0,0,0,0,1,0,68.42,4523.15,0
1,1,0,0,4,1,0,2,0,2,1,2,0,2,1,1,2,70.13,89.5,1
1,0,1,0,2,1,2,0,1,0,2,0,2,0,2,1,2,24.78,24.78,0
0,0,1,0,38,1,0,0,0,0,2,2,1,0,0,1,3,61.61,2269.77,0
1,1,1,0,71,1,2,2,2,2,2,0,0,2,2,0,1,86.98,6195.43,0
0,1,0,0,69,1,2,1,0,0,0,0,2,1,0,1,2,94.81,6540.76,0
0,0,0,0,20,1,0,1,0,1,2,0,0,2,0,0,0,67.28,1224.82,0
0,0,1,0,59,1,0,1,2,0,2,0,2,1,2,1,0,58.3,3467.55,0
0,0,1,0,27,1,0,2,2,2,0,1,1,2,2,1,2,97.26,2561.24,0
1,0,0,0,19,1,1,2,0,0,0,2,2,0,1,1,2,36.1,764.22,1
0,0,1,0,32,1,0,2,0,1,1,1,0,2,1,0,3,27.17,923.47,0
0,0,1,0,52,1,2,0,2,2,1,0,2,1,0,1,2,26.0,1205.73,1
1,0,0,0,23,1,2,0,0,2,1,0,2,0,0,1,3,41.79,994.95,1
1,0,1,0,33,1,1,0,2,2,0,2,1,1,1,1,3,70.78,2353.9,0
0,0,0,1,10,1,0,0,2,0,2,0,2,0,0,1,1,94.28,917.24,0
0,0,0,1,43,1,2,0,2,0,0,1,2,0,0,1,2,96.1,3950.55,1
1,0,1,0,40,1,2,0,0,1,1,2,2,0,0,0,2,104.5,4276.19,0
0,0,1,0,71,1,0,1,0,0,0,0,2,0,0,1,0,98.02,7103.5,1
0,0,0,0,29,1,2,0,0,0,0,0,2,2,1,1,2,96.43,2683.69,0
1,0,1,0,32,1,0,1,0,1,0,0,0,1,0,1,2,106.0,3255.66,0
1,0,1,0,62,0,2,0,2,0,0,2,0,2,2,0,3,62.77,3854.43,0
0,0,0,0,26,1,2,0,2,1,0,0,2,2,1,1,3,44.97,1176.53,1
1,1,0,1,37,1,0,0,2,2,0,0,2,2,0,0,2,91.78,3271.03,1
1,0,0,0,60,1,0,1,0,1,0,0,2,1,2,0,1,38.24,2395.68,0
1,0,0,0,29,1,0,0,2,2,0,1,1,1,2,0,1,46.01,1392.83,0
1,0,1,1,49,1,0,0,0,1,0,0,0,2,2,0,2,29.45,1428.16,0
0,0,0,0,27,1,1,0,2,2,0,0,2,0,0,0,3,25.15,568.73,0
0,0,1,0,5,1,2,2,0,0,2,1,0,0,1,1,2,40.15,40.15,1
1,0,0,1,67,1,0,0,1,0,0,0,1,1,0,0,2,18.82,1188.72,1
0,1,0,0,11,1,2,1,1,0,2,0,2,0,0,1,0,51.18,561.23,1
0,0,0,1,39,1,0,1,0,1,0,1,2,0,1,1,0,78.95,3020.82,0
0,0,0,1,65,1,0,0,1,1,1,1,1,2,0,0,3,62.33,3923.02,0
1,0,1,0,49,1,0,0,0,2,1,0,0,0,2,1,0,111.77,5364.13,0
1,1,1,0,43,0,2,0,2,0,0,1,0,0,0,1,2,19.47,939.83,1
1,0,1,0,38,1,2,0,0,0,1,1,2,2,0,1,1,110.67,4334.56,1
1,0,0,1,69,0,0,0,2,1,0,2,0,1,1,0,3,41.63,2783.29,0
0,0,1,0,69,1,0,2,1,2,1,2,0,2,0,1,2,101.15,6972.02,1
1,0,0,1,22,1,1,0,1,1,2,2,1,1,2,1,2,60.75,1245.76,0
1,0,1,1,12,1,1,0,0,1,2,1,0,0,1,1,1,45.31,474.65,0
1,0,1,0,11,1,0,1,0,2,0,2,0,2,0,0,1,47.77,572.71,0
0,0,0,0,30,1,0,1,0,0,2,0,0,1,2,0,1,107.09,3211.06,0
0,0,1,0,72,1,0,2,2,2,1,0,2,1,0,1,3,96.99,7038.6,0
0,0,1,0,1,1,0,0,0,0,2,0,0,1,1,1,0,102.9,181.79,0
1,0,0,0,42,1,2,1,0,2,1,1,2,2,2,0,2,24.18,1049.44,0
1,0,0,1,51,1,1,1,2,2,2,2,0,2,0,1,2,68.44,3685.99,1
1,0,1,0,4,1,2,0,2,2,2,0,2,1,0,1,0,32.27,170.87,1
0,0,1,1,64,1,1,0,2,1,0,2,1,2,2,1,3,25.24,1771.11,0
0,1,1,0,49,1,0,2,0,0,0,0,0,0,2,1,0,99.38,4849.54,0
1,0,1,0,36,1,0,2,1,2,2,0,2,0,0,1,3,69.98,2627.08,1
0,0,0,1,22,0,0,1,0,2,1,0,1,0,1,1,3,26.73,474.77,0
1,0,0,1,21,1,2,1,0,2,1,2,1,1,0,1,3,43.01,885.74,0
1,0,1,1,10,1,0,2,0,2,0,0,2,2,0,0,2,68.44,825.95,0
1,1,1,0,17,0,0,2,0,0,1,0,1,1,1,0,3,27.15,475.43,0
0,1,1,0,49,1,0,2,0,0,2,0,0,0,2,1,2,82.15,4057.97,0
0,0,0,0,65,1,0,0,0,2,0,0,0,1,2,1,3,47.68,3196.78,0
0,0,1,1,3,1,0,0,1,0,0,0,1,2,2,0,3,97.51,188.92,0
0,0,1,0,9,1,0,0,0,0,1,2,0,0,0,1,3,101.7,868.32,1
0,0,0,0,8,1,2,1,1,1,2,0,0,2,0,1,3,29.84,371.68,1
1,0,0,0,47,1,0,1,0,0,2,0,2,2,1,0,3,103.24,4890.57,0
0,0,0,0,53,1,2,1,2,2,0,1,0,0,2,1,1,73.64,3922.7,0
0,0,0,0,15,1,0,1,1,1,2,0,2,0,0,0,3,92.39,1478.14,0
1,1,1,0,56,1,1,0,2,1,2,2,2,2,2,1,2,32.52,1713.66,0
0,0,1,1,27,1,0,2,2,1,2,0,2,1,2,0,3,103.91,2888.99,0
0,0,1,1,60,1,2,1,1,0,2,2,2,2,0,0,1,62.8,3842.81,0
1,0,1,1,3,1,0,0,0,1,0,1,2,2,0,0,3,65.84,159.31,1
1,0,0,1,26,1,2,1,2,2,2,2,0,2,0,1,0,32.54,812.39,1
1,0,1,0,59,1,0,1,1,1,1,1,0,1,0,1,0,113.82,6655.87,0
1,0,1,0,45,1,2,1,0,1,0,0,2,2,1,1,1,95.23,4190.45,1
1,0,1,0,14,1,0,0,2,2,0,0,2,2,1,0,0,51.85,643.88,0
1,0,0,1,47,1,0,1,0,2,1,1,2,1,0,1,1,38.66,1946.91,1
1,0,1,0,59,1,2,1,2,2,1,0,2,2,1,1,2,48.29,2843.62,0
0,0,0,1,43,1,0,0,0,2,1,0,0,2,0,1,2,44.26,1823.13,1
1,0,1,0,52,1,2,0,2,2,0,1,2,2,0,0,1,106.7,5456.1,0
0,0,1,0,7,1,0,2,2,1,1,1,0,1,1,1,0,106.94,756.94,0
1,0,1,0,57,1,0,0,2,0,1,1,1,2,0,1,3,85.62,4942.25,0
0,0,0,0,48,1,2,0,0,2,2,0,2,0,2,1,0,53.42,2414.86,1
0,0,0,0,14,1,2,1,2,0,2,0,1,2,2,1,3,85.73,1160.81,0
1,0,1,0,4,0,0,0,1,1,2,2,1,1,0,0,2,33.83,207.35,1
0,0,1,1,29,1,0,0,0,1,0,2,2,2,2,1,1,109.04,3190.95,0
1,0,1,0,33,1,0,1,1,0,2,2,1,1,0,0,2,19.28,707.16,1
1,0,1,0,60,1,2,0,0,1,1,2,2,0,0,1,2,32.69,1907.26,0
